"simulation","psi","p","surveyLength","intervalLength","nSurveys","radius","placement","instOcc","dailyOcc","seasonOcc","density","logitInstOcc","logitDailyOcc","logitSeasonOcc","Initial_InstantBias","Initial_DailyBias","Initial_SeasonBias","ExponentialDecay_success","ExponentialDecay_predicted_asymptote","ExponentialDecay_sse","ExponentialDecay_predicted_yIntercept","MichaelisMenten_success","MichaelisMenten_predicted_asymptote","MichaelisMenten_sse","MichaelisMenten_predicted_yIntercept","AsymptoticRegression_success","AsymptoticRegression_predicted_asymptote","AsymptoticRegression_sse","AsymptoticRegression_predicted_yIntercept","LogisticGrowth_success","LogisticGrowth_predicted_asymptote","LogisticGrowth_sse","LogisticGrowth_predicted_yIntercept","Gompertz_success","Gompertz_predicted_asymptote","Gompertz_sse","Gompertz_predicted_yIntercept","UpperHingeThreshold_success","UpperHingeThreshold_predicted_asymptote","UpperHingeThreshold_threshold","UpperHingeThreshold_sse","UpperHingeThreshold_predicted_yIntercept","ExpDec_DailyBias","MichaelisMenten_DailyBias","AsymptoticRegression_DailyBias","LogisticGrowth_DailyBias","Gompertz_DailyBias","UpperHingeThreshold_DailyBias","ExpDec_SeasonBias","MichaelisMenten_SeasonBias","AsymptoticRegression_SeasonBias","LogisticGrowth_SeasonBias","Gompertz_SeasonBias","UpperHingeThreshold_SeasonBias","ExpDec_InstBias","MichaelisMenten_InstBias","AsymptoticRegression_InstBias","LogisticGrowth_InstBias","Gompertz_InstBias","UpperHingeThreshold_InstBias"
1,1.65822819997787,5.25383960114124e-08,5,"10Days",2,100,"systematic",0.445730105995887,0.971904761904762,1,0.2,-0.217938116069674,3.54365771890413,Inf,0.394269910585623,-0.131904745323252,-0.15999998341849,TRUE,-2.08677253072404,16.8803499809659,11.3135511283389,TRUE,-10.0341318045077,17.1351728079579,11.1289407667543,TRUE,-2.08468506698281,16.8803500165169,11.3145448127646,TRUE,7.5247093068978,5.96377034017372,7.5247093068978,FALSE,NA,NA,NA,TRUE,1.82773744309498,3,12.9454178785101,11.6929133294955,-0.861515637519844,-0.971860887334904,-0.861310474770811,0.0275559435913522,NA,-0.110412790662804,-0.889610875615082,-0.999956125430142,-0.889405712866049,-0.00053929450388579,NA,-0.138508028758042,0.554257687765005,0.554255212989882,0.554257699887982,0.553730599500227,NA,0.554261541270403
2,6.13984342697068,-0.116110838326918,5,"10Days",2,100,"systematic",0.484875810789432,0.961666666666667,1,0.2,-0.0605152177708715,3.22234805057896,Inf,0.512973563323139,0.0361827074459043,-0.00215062588742865,TRUE,797.229345143925,22.2349853415913,0.376932634428726,TRUE,5014190.87476266,22.2315893804614,0.378245370669896,TRUE,1130.39166701872,22.2339836957929,0.377326690820452,TRUE,9247.02503289152,20.6973344988508,0.677035311955986,TRUE,164394.133598249,20.9393773500205,0.684330819580268,TRUE,3.31532216459043,2,20.7436743858557,-2.80591842049326,0.038333333333333,0.038333333333333,0.038333333333333,0.038333333333333,0.038333333333333,0.00328406020233596,0,0,0,0,0,-0.035049273130997,0.108257268361875,0.108574027277204,0.108352361014027,0.178200878084044,0.179828794216721,-0.42787061852673
1,1.60806703566466,0.61090913789401,10,"10Days",2,100,"systematic",0.445730105995887,0.971904761904762,1,0.2,-0.217938116069674,3.54365771890413,Inf,0.387412740771431,-0.138761915137444,-0.166857153232682,TRUE,1.07546947759215,19.0031350726689,13.2607130558253,TRUE,-0.562046166579762,21.4682745943896,17.4544046712317,TRUE,2085.99528205688,36.1012397255853,5.69675864095299,TRUE,5279.97011922185,22.1582073819856,10.7505429159853,TRUE,322189.299425438,22.7215488302413,10.3387370359577,TRUE,1.56453211750604,3,13.6295232973087,11.9034775899666,-0.226269094925902,-0.608830613334767,0.028095238095238,0.028095238095238,0.028095238095238,-0.144902041143318,-0.25436433302114,-0.636925851430005,0,0,0,-0.172997279238556,0.554268152418865,0.554269867722721,0.550924296073768,0.554248460695088,0.554237539890665,0.554263127218326
2,1.71564208990451,0.66647591318901,10,"10Days",2,100,"systematic",0.484875810789432,0.961666666666667,1,0.2,-0.0605152177708715,3.22234805057896,Inf,0.362690847221786,-0.114100008655449,-0.152433341988782,FALSE,NA,NA,NA,FALSE,NA,NA,NA,TRUE,2.86406115497084,27.610046384703,-36654.970688723,TRUE,2.88492717953671,31.8150892253954,2.88480498081031,TRUE,2.86961451674038,31.9140815756803,2.86933732605979,TRUE,2.86407813972969,2,27.6092659620867,-2.35467439563253,NA,NA,-0.0156256796633788,-0.0145703826159458,-0.0153428959628402,-0.0156248126415244,NA,NA,-0.0539590129967118,-0.0529037159492788,-0.0536762292961732,-0.0539581459748574,NA,NA,-0.484875810789432,0.462214350170235,0.461433878246306,-0.398180867742391
1,1.70112660560441,0.950974910702875,15,"10Days",2,100,"systematic",0.445730105995887,0.971904761904762,1,0.2,-0.217938116069674,3.54365771890413,Inf,0.399951712814502,-0.126222943094373,-0.154318181189611,TRUE,1.37237685397033,19.910987725954,13.7718510616444,TRUE,0.512944280654565,24.1650607372849,32.168298359802,TRUE,1.37230423932738,19.9109877260385,13.7704958552365,TRUE,14024.1166659013,33.2920855302767,8.88730490053075,FALSE,NA,NA,NA,TRUE,1.59406298588945,3,13.8186633049348,11.8798528952599,-0.174140863241868,-0.346408333352417,-0.174152578899187,0.028095238095238,NA,-0.14071779281905,-0.202236101337106,-0.374503571447655,-0.202247816994425,0,NA,-0.168813030914288,0.554268849378609,0.554269894004102,0.554268847961968,0.554131781647046,NA,0.55426296545288
2,2.04327356862999,0.641821483464384,15,"10Days",2,100,"systematic",0.484875810789432,0.961666666666667,1,0.2,-0.0605152177708715,3.22234805057896,Inf,0.40039037299938,-0.0764004828778555,-0.114733816211188,FALSE,NA,NA,NA,FALSE,NA,NA,NA,TRUE,2.64227905079315,29.5144892395546,-40220.7348671666,TRUE,2.75503022827644,33.7388157131249,2.74127910929816,TRUE,2.75418417533304,33.7629636185482,2.73680650874761,TRUE,2.64228677647124,2,29.5138309843315,-2.13288303237408,NA,NA,-0.0281331503267418,-0.0214698562954173,-0.0215174448386524,-0.0281326709601407,NA,NA,-0.0664664836600748,-0.0598031896287503,-0.0598507781719854,-0.0664660042934737,NA,NA,-0.484875810789432,0.454543122214673,0.454288081220369,-0.378934204522898
1,2.17299143769947,1.07881508933373,20,"10Days",2,100,"systematic",0.445730105995887,0.971904761904762,1,0.2,-0.217938116069674,3.54365771890413,Inf,0.452067672509664,-0.0741069833992115,-0.102202221494449,TRUE,1.55770485268698,21.3698548055129,14.0716886894098,TRUE,1.02133133187158,27.1109895410851,324.981066300623,TRUE,1.55766164769426,21.3698548107049,14.0703363371894,TRUE,14803.8811529591,48.0821065889171,5.67742377102586,TRUE,2686764.25496231,49.1646657735813,5.25671001673565,TRUE,1.68554214014542,3,14.6582348700979,11.8066695718551,-0.145880994343841,-0.236672916266097,-0.145887203356126,0.028095238095238,0.028095238095238,-0.128267753978483,-0.173976232439079,-0.264768154361335,-0.173982441451364,0,0,-0.156362992073721,0.55426912000063,0.554269894004113,0.554269118953197,0.550859202741612,0.549084497165844,0.554262439387415
2,1.72701898254194,1.15097927521165,20,"10Days",2,100,"systematic",0.484875810789432,0.961666666666667,1,0.2,-0.0605152177708715,3.22234805057896,Inf,0.364154907358205,-0.11263594851903,-0.150969281852363,TRUE,2.46688332282431,31.2609005395358,-149352.425813067,TRUE,-824275.367316572,34.4064216607348,2.85552093193661,TRUE,2.46687536597165,31.2614706693909,-33213.9292633065,TRUE,2.82115348943736,34.1199019058252,2.73014362898748,TRUE,2.8506331649305,34.146066054085,2.72951904306528,TRUE,2.46688563484636,2,31.2607347197049,-1.9574818907492,-0.0398793047740166,-0.961666666666667,-0.0398798784285873,-0.0178583945039074,-0.0163152640095414,-0.0398791380879752,-0.0782126381073496,-1,-0.0782132117619203,-0.0561917278372404,-0.0546485973428744,-0.0782124714213082,-0.484875810789432,0.460727555343997,-0.484875810789432,0.453906281308388,0.453870376344426,-0.361135987560183
1,2.44809013132473,1.18559697899425,30,"10Days",2,100,"systematic",0.445730105995887,0.971904761904762,1,0.2,-0.217938116069674,3.54365771890413,Inf,0.47469156758845,-0.0514830883204248,-0.0795783264156628,TRUE,1.80496722294392,24.2197484952329,14.4163644150393,TRUE,1.43564500835373,32.3164634256264,2101.14155565098,TRUE,1131.3972192363,63.9168014448484,2.75425541183652,TRUE,1862.59115228075,62.5923751350589,3.10872357671816,TRUE,5937.53967309083,62.8402363372438,3.02933067532536,TRUE,1.86335367123656,3,16.7320434031801,11.6644203469822,-0.113152245049585,-0.164125411945008,0.028095238095238,0.028095238095238,0.028095238095238,-0.10621739483888,-0.141247483144822,-0.192220650040246,0,0,0,-0.134312632934118,0.554269345661184,0.554269894004113,0.494423124089222,0.51152104725489,0.508151631401908,0.554261299855165
2,2.50552605358316,1.13707867470453,30,"10Days",2,100,"systematic",0.484875810789432,0.961666666666667,1,0.2,-0.0605152177708715,3.22234805057896,Inf,0.43965249923268,-0.0371383566445546,-0.0754716899778876,TRUE,1.59903999765754,35.4265449606124,2.76386724393841,TRUE,0.49549829962174,35.4512681461487,2.7380195809193,TRUE,1.5997150365994,35.4265450840287,2.76393341980415,TRUE,144.869724088516,35.4775718057862,2.69327694920186,FALSE,NA,NA,NA,TRUE,2.32907775185289,2,32.836509202577,-1.81967400775573,-0.129782497869986,-0.340265833501093,-0.129688112866468,0.038333333333333,NA,-0.0504098818712342,-0.168115831203319,-0.378599166834426,-0.168021446199801,0,NA,-0.0887432152045672,0.455815947829888,0.454357353278719,0.455819639724982,0.451752953773492,NA,-0.345402816746215
