"","psi","p","surveyLength","intervalLength","nSurveys","radius","placement","instOcc","dailyOcc","seasonOcc","density","iteration"
"1",1.87171569878196,-1.60481036962647,1,"none",4,100,"systematic",0.484875810789432,0.961666666666667,1,0.2,2
"2",0.921627013687579,-0.605863733613002,2,"none",4,100,"systematic",0.484875810789432,0.961666666666667,1,0.2,2
"3",1.48149724974836,-0.51389916528987,3,"none",4,100,"systematic",0.484875810789432,0.961666666666667,1,0.2,2
"4",1.21407160256434,-0.0285099056360353,4,"none",4,100,"systematic",0.484875810789432,0.961666666666667,1,0.2,2
"5",1.41755095819476,0.174478044480838,5,"none",4,100,"systematic",0.484875810789432,0.961666666666667,1,0.2,2
"6",1.4579108884389,0.396598717033846,6,"none",4,100,"systematic",0.484875810789432,0.961666666666667,1,0.2,2
"7",1.31552399067542,0.442298031693039,7,"none",4,100,"systematic",0.484875810789432,0.961666666666667,1,0.2,2
"8",1.52519942715926,0.652137511446486,8,"none",4,100,"systematic",0.484875810789432,0.961666666666667,1,0.2,2
"9",1.69864651096599,0.544541127613667,9,"none",4,100,"systematic",0.484875810789432,0.961666666666667,1,0.2,2
"10",1.56550878497231,0.82437622093306,10,"none",4,100,"systematic",0.484875810789432,0.961666666666667,1,0.2,2
"11",1.57001269378226,0.793509084129987,11,"none",4,100,"systematic",0.484875810789432,0.961666666666667,1,0.2,2
"12",1.72027167592311,0.785097922722821,12,"none",4,100,"systematic",0.484875810789432,0.961666666666667,1,0.2,2
"13",1.69463013824332,0.969381637850873,13,"none",4,100,"systematic",0.484875810789432,0.961666666666667,1,0.2,2
"14",1.69673118868005,0.919317854880745,14,"none",4,100,"systematic",0.484875810789432,0.961666666666667,1,0.2,2
"15",1.70821352143172,0.860703692154779,15,"none",4,100,"systematic",0.484875810789432,0.961666666666667,1,0.2,2
"16",1.76372543745378,1.06603589344925,16,"none",4,100,"systematic",0.484875810789432,0.961666666666667,1,0.2,2
"17",1.68293063896238,1.09880757489097,17,"none",4,100,"systematic",0.484875810789432,0.961666666666667,1,0.2,2
"18",1.7539782936772,1.19913031487416,18,"none",4,100,"systematic",0.484875810789432,0.961666666666667,1,0.2,2
"19",1.75969870278799,1.11506501350476,19,"none",4,100,"systematic",0.484875810789432,0.961666666666667,1,0.2,2
"20",1.75503046766604,1.18206312474225,20,"none",4,100,"systematic",0.484875810789432,0.961666666666667,1,0.2,2
"21",1.83405187746079,1.23185509266181,21,"none",4,100,"systematic",0.484875810789432,0.961666666666667,1,0.2,2
"22",1.93150504282814,1.0982354516696,22,"none",4,100,"systematic",0.484875810789432,0.961666666666667,1,0.2,2
"23",1.83211789782373,1.26654023412607,23,"none",4,100,"systematic",0.484875810789432,0.961666666666667,1,0.2,2
"24",1.9247411031689,1.17971947662107,24,"none",4,100,"systematic",0.484875810789432,0.961666666666667,1,0.2,2
"25",1.82653946790047,1.39298968049744,25,"none",4,100,"systematic",0.484875810789432,0.961666666666667,1,0.2,2
"26",1.74629053097547,1.35944479309186,26,"none",4,100,"systematic",0.484875810789432,0.961666666666667,1,0.2,2
"27",2.01702270376743,1.19504526987667,27,"none",4,100,"systematic",0.484875810789432,0.961666666666667,1,0.2,2
"28",1.91397602831669,1.37078845823379,28,"none",4,100,"systematic",0.484875810789432,0.961666666666667,1,0.2,2
"29",1.82159641955835,1.56982888859995,29,"none",4,100,"systematic",0.484875810789432,0.961666666666667,1,0.2,2
"30",1.91057194641579,1.46441487870698,30,"none",4,100,"systematic",0.484875810789432,0.961666666666667,1,0.2,2
"31",6.15707458269683,-2.94145440030832,1,"none",4,50,"systematic",0.148978800822655,0.843095238095238,1,0.2,2
"32",0.357111412692586,-2.0858248466071,2,"none",4,50,"systematic",0.148978800822655,0.843095238095238,1,0.2,2
"33",-0.32312476819277,-1.37140596264855,3,"none",4,50,"systematic",0.148978800822655,0.843095238095238,1,0.2,2
"34",-0.452059420636872,-0.806741232076722,4,"none",4,50,"systematic",0.148978800822655,0.843095238095238,1,0.2,2
"35",-0.0739797962943585,-0.817290244110342,5,"none",4,50,"systematic",0.148978800822655,0.843095238095238,1,0.2,2
"36",-0.259719390555199,-0.773237155417778,6,"none",4,50,"systematic",0.148978800822655,0.843095238095238,1,0.2,2
"37",0.42904649181837,-1.06725696485602,7,"none",4,50,"systematic",0.148978800822655,0.843095238095238,1,0.2,2
"38",0.0740094331095646,-0.806737889474117,8,"none",4,50,"systematic",0.148978800822655,0.843095238095238,1,0.2,2
"39",0.0955137765102297,-0.543109599796788,9,"none",4,50,"systematic",0.148978800822655,0.843095238095238,1,0.2,2
"40",0.451784871040561,-0.814925828814784,10,"none",4,50,"systematic",0.148978800822655,0.843095238095238,1,0.2,2
"41",0.353876977096835,-0.495126783669628,11,"none",4,50,"systematic",0.148978800822655,0.843095238095238,1,0.2,2
"42",0.39811227175533,-0.488330822083323,12,"none",4,50,"systematic",0.148978800822655,0.843095238095238,1,0.2,2
"43",0.41897303643714,-0.519429094728644,13,"none",4,50,"systematic",0.148978800822655,0.843095238095238,1,0.2,2
"44",0.228011857198121,-0.444559762262011,14,"none",4,50,"systematic",0.148978800822655,0.843095238095238,1,0.2,2
"45",0.252655736989955,-0.314671116152772,15,"none",4,50,"systematic",0.148978800822655,0.843095238095238,1,0.2,2
"46",0.239102887853865,-0.286093493318405,16,"none",4,50,"systematic",0.148978800822655,0.843095238095238,1,0.2,2
"47",0.174995748817904,0.00501133130757744,17,"none",4,50,"systematic",0.148978800822655,0.843095238095238,1,0.2,2
