"simulation","psi","p","surveyLength","intervalLength","nSurveys","radius","placement","instOcc","dailyOcc","seasonOcc","density","logitInstOcc","logitDailyOcc","logitSeasonOcc","Initial_InstantBias","Initial_DailyBias","Initial_SeasonBias","ExponentialDecay_success","ExponentialDecay_predicted_asymptote","ExponentialDecay_sse","ExponentialDecay_predicted_yIntercept","MichaelisMenten_success","MichaelisMenten_predicted_asymptote","MichaelisMenten_sse","MichaelisMenten_predicted_yIntercept","AsymptoticRegression_success","AsymptoticRegression_predicted_asymptote","AsymptoticRegression_sse","AsymptoticRegression_predicted_yIntercept","LogisticGrowth_success","LogisticGrowth_predicted_asymptote","LogisticGrowth_sse","LogisticGrowth_predicted_yIntercept","Gompertz_success","Gompertz_predicted_asymptote","Gompertz_sse","Gompertz_predicted_yIntercept","ExpDec_DailyBias","MichaelisMenten_DailyBias","AsymptoticRegression_DailyBias","LogisticGrowth_DailyBias","Gompertz_DailyBias","ExpDec_SeasonBias","MichaelisMenten_SeasonBias","AsymptoticRegression_SeasonBias","LogisticGrowth_SeasonBias","Gompertz_SeasonBias","ExpDec_InstBias","MichaelisMenten_InstBias","AsymptoticRegression_InstBias","LogisticGrowth_InstBias","Gompertz_InstBias"
1,-0.0800447684847591,-1.09861070176936,5,"10Days",2,50,"systematic",0.121616041765543,0.855714285714286,1,0.2,-1.97721492485989,1.78014108127419,Inf,0.358383443855997,-0.375714800092746,-0.52000051437846,TRUE,2222.60525696011,19.6287371446696,4.6451468629889,TRUE,-3.00369550845198,5.45775892249299,3135.41347361947,TRUE,-0.467062480614914,0.208861576207595,13194.5391316307,FALSE,NA,NA,NA,FALSE,NA,NA,NA,0.144285714285714,-0.808455084317765,-0.470402535426481,NA,NA,0,-0.952740798603479,-0.614688249712195,NA,NA,0.868867277154749,0.878383958234457,0.878383958234457,NA,NA
2,0.0833806344551644,-1.15267918428059,5,"10Days",2,50,"systematic",0.148978800822655,0.843095238095238,1,0.2,-1.7426330196996,1.6814409176094,Inf,0.371854289312655,-0.322262147959928,-0.47916690986469,FALSE,NA,NA,NA,TRUE,4.73643537392833,31.8865237160105,4.60861043973764,TRUE,-1132.52908968014,40.8625225314458,6.15522589893834,TRUE,4.92838583084016,27.4369468238942,4.92838583084016,FALSE,NA,NA,NA,NA,0.148211151800197,-0.843095238095238,0.149718599126836,NA,NA,-0.00869361010456549,-1,-0.0071861627779255,NA,NA,0.841153876950506,0.848903332563937,0.843835036399419,NA
1,0.774530892287881,-0.993252277649952,10,"10Days",2,50,"systematic",0.121616041765543,0.855714285714286,1,0.2,-1.97721492485989,1.78014108127419,Inf,0.562884158977788,-0.171214084970955,-0.315499799256669,TRUE,0.0822018573250099,2.68348322114947,55745.2138430418,FALSE,NA,NA,NA,TRUE,1634.66430483171,33.2656268666031,1.72075827542539,FALSE,NA,NA,NA,FALSE,NA,NA,NA,-0.335175385441964,NA,0.144285714285714,NA,NA,-0.479461099727678,NA,0,NA,NA,0.878383958234457,NA,0.726610439459079,NA,NA
2,-0.195621641798645,-0.318453059984978,10,"10Days",2,50,"systematic",0.148978800822655,0.843095238095238,1,0.2,-1.7426330196996,1.6814409176094,Inf,0.302271152857808,-0.391845284414775,-0.548750046319537,TRUE,-447.100933626019,58.6501044414958,5.71079077207202,TRUE,-2684698.40649322,58.6420059905578,5.70490716702421,TRUE,-432.104493211588,58.6503804014118,5.71098795785465,TRUE,5.29643531487376,59.0294439775949,5.00503419305808,TRUE,5.78094150749407,58.7856652460734,5.06146936879018,-0.843095238095238,-0.843095238095238,-0.843095238095238,0.151920311984267,0.153828446098848,-1,-1,-1,-0.00498444992049507,-0.00307631580591383,0.84772206547665,0.847702662067389,0.847722713809183,0.84436173287581,0.844724851966835
1,0.30626635183547,-0.336390384488795,15,"10Days",2,50,"systematic",0.121616041765543,0.855714285714286,1,0.2,-1.97721492485989,1.78014108127419,Inf,0.454357617574014,-0.279740626374729,-0.424026340660443,TRUE,0.445835962640328,7.15206637645938,83433.1078540803,FALSE,NA,NA,NA,TRUE,873.155958951485,37.6336089779874,1.04908283112702,FALSE,NA,NA,NA,FALSE,NA,NA,NA,-0.246065543851087,NA,0.144285714285714,NA,NA,-0.390351258136801,NA,0,NA,NA,0.878383958234457,NA,0.618982696929227,NA,NA
2,0.849280189898406,-0.882387943301733,15,"10Days",2,50,"systematic",0.148978800822655,0.843095238095238,1,0.2,-1.7426330196996,1.6814409176094,Inf,0.55143732325942,-0.142679114013163,-0.299583875917925,TRUE,0.340444544828083,62.8465241858828,6.29593043538115,TRUE,-1.71721154594837,63.1233875839098,6.4769863642269,TRUE,0.340120568410406,62.8465241571755,6.29562351420193,TRUE,63.007355097762,62.9192839013186,6.03073316872121,TRUE,7486.86921403085,62.9873269915493,5.9229338496516,-0.258796733949312,-0.690864555185143,-0.258875427948767,0.156904761904762,0.156904761904762,-0.415701495854074,-0.847769317089905,-0.415780189853529,0,0,0.849180799528793,0.849485122341296,0.849180235624512,0.848623232252722,0.848351014404699
1,8.17366458174838,-0.919412458241049,20,"10Days",2,50,"systematic",0.121616041765543,0.855714285714286,1,0.2,-1.97721492485989,1.78014108127419,Inf,0.878102054954511,0.144003811005768,-0.000281903279946261,TRUE,1.21570805541785,96.0619143824537,121980.375301779,TRUE,4719017.82971359,107.010127836509,0.0261341174999912,TRUE,1820.48898597781,107.016251089633,0.0264737595891609,TRUE,14935.0529349715,95.5884719234674,0.0559408214724713,FALSE,NA,NA,NA,-0.0844069206332179,0.144285714285714,0.144285714285714,0.144285714285714,NA,-0.228692634918932,0,0,0,NA,0.878383958234457,0.38491711577244,0.385002011608884,0.392365517663594,NA
2,1.12929648417463,-0.82666723857011,20,"10Days",2,50,"systematic",0.148978800822655,0.843095238095238,1,0.2,-1.7426330196996,1.6814409176094,Inf,0.606730243551858,-0.0873861937207245,-0.244290955625487,TRUE,0.969711712314582,64.4356150807196,6.61975587813999,TRUE,-0.0626979030486678,65.2917107265264,7.4021950812969,TRUE,0.969622158246884,64.4356150657215,6.6194835400627,TRUE,4214.35539854658,66.7960124651081,5.53617626784398,TRUE,125982.753276381,67.2223547520991,5.37125476438483,-0.118033205885266,-0.358764581142733,-0.118051058587125,0.156904761904762,0.156904761904762,-0.274937967790028,-0.515669343047495,-0.274955820491887,0,0,0.849689219209299,0.850411658460664,0.849688856894408,0.84709510458571,0.846394410721262
1,0.848132895932965,-0.0290987985560512,30,"10Days",2,50,"systematic",0.121616041765543,0.855714285714286,1,0.2,-1.97721492485989,1.78014108127419,Inf,0.578559286407828,-0.155538957540915,-0.299824671826629,TRUE,1.48102280535876,143.336078487807,144000.994138315,TRUE,5.49036524182689,157.442738614263,0.603863761852411,TRUE,3.06225011374514,157.262233279891,0.539794715540359,TRUE,2.32713272550227,152.121325488678,0.0127064277136452,TRUE,2.31422747508095,152.480588893555,1.29834176146565e-15,-0.0409872660047814,0.1401763341838,0.099594176532022,0.055385083100194,0.05433423200645,-0.185272980290495,-0.00410938010191397,-0.0446915377536921,-0.0889006311855201,-0.089951482279264,0.878383958234457,0.52492373398177,0.510148620281202,0.381560522424084,0.378383958234457
2,0.490263273003331,-0.0327943348657109,30,"10Days",2,50,"systematic",0.148978800822655,0.843095238095238,1,0.2,-1.7426330196996,1.6814409176094,Inf,0.471189649950625,-0.222926787321958,-0.37983154922672,TRUE,1.65453497836203,103.916002568477,7.13816174223095,TRUE,1.4394704973175,106.299134224664,28.2325011087016,TRUE,1.6545222750127,103.916002255242,7.137722340456,TRUE,3168.77711273536,120.732469540401,3.37604280145749,TRUE,22978.2314479784,121.122655961611,3.26907925385451,-0.00359221396348197,-0.0347225965726483,-0.00359392559089178,0.156904761904762,0.156904761904762,-0.160496975868244,-0.19162735847741,-0.160498687495654,0,0,0.850227618728026,0.851021199176797,0.850227270227651,0.817968565120847,0.81437387847424
